,,,,,,,,,,,,,,,,
,Fly Ash (kg/m3),Slag (%),Rest Period (Hrs.),Curing Temperature (°C) ,Curing Period (Hrs.) ,NaOH/Na2SiO3,Superplasticizer (kg/m3),Extra water added (kg/m3),Molarity,Alkaline Activator/ Binder Ratio ,Coarse Aggregate (kg/m3),Fine Aggregate  (kg/m3),Compressive Strength (Mpa),,,"The quintenary influence of alkali-activator-binder ratio, molarity, superplasticizer, fly ash, and slag on the compressive strength of high-strength geopolymer concrete (HSGPC) under different curing periods and temperatures for sustainable structures"
,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y,,,
,430,0,24,60,24,0.4,8.6,0,8,0.45,1243,533,32.5,,,
,397,0,24,70,24,0.4,7.94,0,8,0.45,1307,547,35,,,
,364,0,24,80,24,0.4,7.28,0,8,0.45,1311,562,37,,,
,331,0,24,90,24,0.4,6.62,0,8,0.45,1344,576,37.5,,,
,298,0,24,100,24,0.4,5.96,0,8,0.45,1377,590,35,,,
,430,0,24,60,24,0.4,8.6,0,10,0.45,1243,533,36,,,
,397,0,24,70,24,0.4,7.94,0,10,0.45,1307,547,36.5,,,
,364,0,24,80,24,0.4,7.28,0,10,0.45,1311,562,37.5,,,
,331,0,24,90,24,0.4,6.62,0,10,0.45,1344,576,38,,,
,298,0,24,100,24,0.4,5.96,0,10,0.45,1377,590,37.5,,,
,430,0,24,60,24,0.4,8.6,0,12,0.45,1243,533,39,,,
,397,0,24,70,24,0.4,7.94,0,12,0.45,1307,547,40,,,
,364,0,24,80,24,0.4,7.28,0,12,0.45,1311,562,40.5,,,
,331,0,24,90,24,0.4,6.62,0,12,0.45,1344,576,42.5,,,
,298,0,24,100,24,0.4,5.96,0,12,0.45,1377,590,41,,,
,430,0,24,60,24,0.4,8.6,0,14,0.45,1243,533,39,,,
,397,0,24,70,24,0.4,7.94,0,14,0.45,1307,547,40,,,
,364,0,24,80,24,0.4,7.28,0,14,0.45,1311,562,40.3,,,
,331,0,24,90,24,0.4,6.62,0,14,0.45,1344,576,41,,,
,298,0,24,100,24,0.4,5.96,0,14,0.45,1377,590,40,,,
,427,0,0,40,24,0.4,0,0,8,0.35,1276.8,547,33.86,,,
,427,0,0,60,24,0.4,0,0,8,0.35,1276.8,547,35.2,,,
,427,0,0,80,24,0.4,0,0,8,0.35,1276.8,547,38.17,,,
,427,0,0,100,24,0.4,0,0,8,0.35,1276.8,547,38.88,,,
,427,0,0,40,24,0.4,0,0,10,0.35,1276.8,547,37.63,,,
,427,0,0,60,24,0.4,0,0,10,0.35,1276.8,547,39.21,,,
,427,0,0,80,24,0.4,0,0,10,0.35,1276.8,547,42.11,,,
,427,0,0,100,24,0.4,0,0,10,0.35,1276.8,547,43.5,,,
,427,0,0,40,24,0.4,0,0,12,0.35,1276.8,547,40.33,,,
,427,0,0,60,24,0.4,0,0,12,0.35,1276.8,547,41.82,,,
,427,0,0,80,24,0.4,0,0,12,0.35,1276.8,547,44.47,,,
,427,0,0,100,24,0.4,0,0,12,0.35,1276.8,547,44.89,,,
,427,0,0,40,24,0.4,0,0,14,0.35,1276.8,547,42.57,,,
,427,0,0,60,24,0.4,0,0,14,0.35,1276.8,547,43.54,,,
,427,0,0,80,24,0.4,0,0,14,0.35,1276.8,547,46.23,,,
,427,0,24,80,24,0.4,0,0,14,0.35,1276.8,547,46.86,,,
,427,0,48,80,24,0.4,0,0,14,0.35,1276.8,547,47.58,,,
,427,0,72,80,24,0.4,0,0,14,0.35,1276.8,547,47.92,,,
,427,0,0,100,24,0.4,0,0,14,0.35,1276.8,547,46.86,,,
,427,0,0,40,24,0.4,0,0,16,0.35,1276.8,547,40.73,,,
,427,0,0,60,24,0.4,0,0,16,0.35,1276.8,547,41.93,,,
,427,0,0,80,24,0.4,0,0,16,0.35,1276.8,547,44.67,,,
,427,0,0,100,24,0.4,0,0,16,0.35,1276.8,547,45.37,,,
,427,0,0,80,24,0.4,0,0,14,0.25,1276.8,547,42.37,,,
,427,0,0,80,24,0.4,0,0,14,0.3,1276.8,547,44.67,,,
,427,0,0,80,24,0.4,0,0,14,0.4,1276.8,547,46.16,,,
,427,0,0,80,24,0.4,0,0,14,0.45,1276.8,547,45.87,,,
,427,0,0,80,24,0.3,0,0,14,0.35,1276.8,547,45.65,,,
,427,0,0,80,24,0.35,0,0,14,0.35,1276.8,547,46.16,,,
,427,0,0,80,24,0.45,0,0,14,0.35,1276.8,547,45.57,,,
,427,0,0,80,24,0.5,0,0,14,0.35,1276.8,547,43.89,,,
,400,0,24,50,48,0.4,10.5,35,18,0.35,875,875,21,,,
,400,0,24,50,48,0.4,10.5,35,16,0.35,875,875,27.5,,,
,400,0,24,50,48,0.4,10.5,35,12,0.35,875,875,18,,,
,400,0,24,50,48,0.4,10.5,35,16,0.45,875,875,30,,,
,400,0,24,50,48,0.4,10.5,35,16,0.4,875,875,32,,,
,400,0,24,50,48,0.4,10.5,35,16,0.35,875,875,27,,,
,400,0,24,50,48,0.4,10.5,35,16,0.3,875,875,17.5,,,
,400,0,24,50,48,0.3,10.5,35,16,0.35,875,875,36,,,
,400,0,24,50,48,0.4,10.5,35,16,0.35,875,875,27,,,
,400,0,24,50,48,0.5,10.5,35,16,0.35,875,875,25,,,
,383,0,24,90,24,0.67,0,0,8,0.3,1188,546,29.62,,,
,383,0,24,90,24,0.67,0,0,10,0.3,1188,546,31.39,,,
,383,0,24,90,24,0.67,0,0,12,0.3,1188,546,33.17,,,
,463.5,0,24,90,24,0.67,0,0,8,0.3,1154.06,530.7,32.43,,,
,463.5,0,24,90,24,0.67,0,0,10,0.3,1154.06,530.7,34.21,,,
,463.5,0,24,90,24,0.67,0,0,12,0.3,1154.06,530.7,35.98,,,
